time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()',,,pid,500-4-1
39:53.5,25.06822087, 'on', 'on',24.09360985, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:53.8,25.09386069, 'on', 'on',24.13157588, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:54.2,25.1195005, 'on', 'on',24.15690559, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:54.4,25.14514032, 'on', 'on',24.18223529, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:54.7,25.15796991, 'on', 'on',24.23297164, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:55.0,25.1707995, 'on', 'on',24.2837852, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:55.3,25.19647817, 'on', 'on',24.32192434, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:55.6,25.20932726, 'on', 'on',24.37281561, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:55.9,25.22217635, 'on', 'on',24.42370688, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:56.2,25.24789415, 'on', 'on',24.50016181, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:56.6,25.28650044, 'on', 'on',24.56402188, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:56.9,25.33801511, 'on', 'on',24.61514945, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:57.2,25.3766807, 'on', 'on',24.66627703, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:57.5,25.41534628, 'on', 'on',24.73033667, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:57.8,25.45401187, 'on', 'on',24.79439631, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:58.2,25.49273716, 'on', 'on',24.8586582, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:58.4,25.51857397, 'on', 'on',24.91010829, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:58.8,25.54445099, 'on', 'on',24.97447232, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:59.1,25.57032801, 'on', 'on',25.05177111, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:59.5,25.59620504, 'on', 'on',25.1033857, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
39:59.7,25.64804033, 'on', 'on',25.18093289, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:00.0,25.68694721, 'on', 'on',25.2457123, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:00.4,25.73886404, 'on', 'on',25.3104917, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:00.7,25.77783227, 'on', 'on',25.36235717, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:01.0,25.8298312, 'on', 'on',25.44041114, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:01.3,25.89488168, 'on', 'on',25.53154965, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:01.6,25.93397388, 'on', 'on',25.59675556, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:01.9,25.97306609, 'on', 'on',25.64896336, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:02.2,26.02531465, 'on', 'on',25.72740628, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:02.5,26.09067825, 'on', 'on',25.81900007, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:02.8,26.14301115, 'on', 'on',25.88464387, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:03.1,26.1822925, 'on', 'on',25.93720313, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:03.4,26.22157384, 'on', 'on',25.9897624, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:03.7,26.30032955, 'on', 'on',26.08197736, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:04.0,26.35291894, 'on', 'on',26.16122157, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:04.3,26.405595, 'on', 'on',26.24060242, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:04.6,26.47149477, 'on', 'on',26.30681, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
40:04.9,26.53739455, 'on', 'on',26.39966264, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying',,,,
