time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
15:26.9,35.21, 'off', 'on',29.24, 'off',0,33.41,30.25,32.23,31.31, 'Steady'
15:27.2,35.21, 'off', 'on',29.24, 'off',0,33.41,30.25,32.24,31.31, 'Steady'
15:27.5,35.21, 'off', 'on',29.25, 'off',0,33.41,30.25,32.24,31.31, 'Steady'
15:27.8,35.2, 'off', 'on',29.25, 'off',0,33.41,30.25,32.24,31.31, 'Steady'
15:28.1,35.2, 'off', 'on',29.26, 'off',0,33.41,30.25,32.25,31.32, 'Steady'
15:28.4,35.2, 'off', 'on',29.26, 'off',0,33.41,30.26,32.25,31.32, 'Steady'
15:28.8,35.19, 'off', 'on',29.26, 'off',0,33.41,30.26,32.25,31.32, 'Steady'
15:29.1,35.19, 'off', 'on',29.27, 'off',0,33.41,30.26,32.24,31.32, 'Steady'
15:29.4,35.18, 'off', 'on',29.27, 'off',0,33.41,30.26,32.24,31.32, 'Steady'
15:29.7,35.18, 'off', 'on',29.27, 'off',0,33.41,30.26,32.24,31.32, 'Steady'
15:30.0,35.18, 'off', 'on',29.27, 'off',0,33.41,30.26,32.24,31.32, 'Steady'
15:30.4,35.17, 'off', 'on',29.28, 'off',0,33.41,30.26,32.24,31.33, 'Steady'
15:30.7,35.17, 'off', 'on',29.28, 'off',0,33.41,30.26,32.25,31.33, 'Steady'
15:31.1,35.16, 'off', 'on',29.28, 'off',0,33.41,30.27,32.25,31.33, 'Steady'
15:31.4,35.16, 'off', 'on',29.28, 'off',0,33.41,30.26,32.25,31.33, 'Steady'
15:31.7,35.15, 'off', 'on',29.28, 'off',0,33.41,30.26,32.25,31.33, 'Steady'
15:32.0,35.15, 'off', 'on',29.28, 'off',0,33.41,30.26,32.25,31.33, 'Steady'
15:32.3,35.14, 'off', 'on',29.28, 'off',0,33.41,30.26,32.25,31.34, 'Steady'
15:32.6,35.14, 'off', 'on',29.28, 'off',0,33.41,30.26,32.25,31.34, 'Steady'
15:32.9,35.14, 'off', 'on',29.28, 'off',0,33.41,30.26,32.25,31.33, 'Steady'
15:33.3,35.14, 'off', 'on',29.29, 'off',0,33.41,30.27,32.25,31.33, 'Steady'
15:33.6,35.14, 'off', 'on',29.29, 'off',0,33.41,30.27,32.25,31.33, 'Steady'
15:33.9,35.14, 'off', 'on',29.29, 'off',0,33.41,30.27,32.25,31.34, 'Steady'
15:34.2,35.14, 'off', 'on',29.29, 'off',0,33.41,30.28,32.25,31.34, 'Steady'
15:34.5,35.14, 'off', 'on',29.29, 'off',0,33.42,30.28,32.25,31.34, 'Steady'
15:34.8,35.13, 'off', 'on',29.3, 'off',0,33.42,30.28,32.25,31.34, 'Steady'
15:35.2,35.13, 'off', 'on',29.3, 'off',0,33.42,30.28,32.25,31.34, 'Steady'
15:35.5,35.12, 'off', 'on',29.3, 'off',0,33.42,30.29,32.25,31.34, 'Steady'
15:35.8,35.12, 'off', 'on',29.3, 'off',0,33.42,30.3,32.25,31.35, 'Steady'
15:36.1,35.12, 'off', 'on',29.3, 'off',0,33.42,30.29,32.25,31.35, 'Steady'
15:36.4,35.11, 'off', 'on',29.3, 'off',0,33.43,30.3,32.25,31.35, 'Steady'
15:36.7,35.11, 'off', 'on',29.3, 'off',0,33.43,30.29,32.25,31.35, 'Steady'
15:37.1,35.1, 'off', 'on',29.3, 'off',0,33.43,30.28,32.25,31.35, 'Steady'
15:37.4,35.09, 'off', 'on',29.3, 'off',0,33.43,30.29,32.25,31.35, 'Steady'
15:37.7,35.08, 'off', 'on',29.3, 'off',0,33.43,30.29,32.25,31.35, 'Steady'
15:38.0,35.07, 'off', 'on',29.3, 'off',0,33.43,30.29,32.26,31.35, 'Steady'
15:38.3,35.06, 'off', 'on',29.3, 'off',0,33.43,30.28,32.26,31.35, 'Steady'
15:38.7,35.05, 'off', 'on',29.3, 'off',0,33.43,30.28,32.26,31.36, 'Steady'
15:39.0,35.04, 'off', 'on',29.3, 'off',0,33.43,30.28,32.26,31.36, 'Steady'
15:39.3,35.03, 'off', 'on',29.3, 'off',0,33.43,30.28,32.26,31.36, 'Steady'
15:39.6,35.02, 'off', 'on',29.3, 'off',0,33.44,30.28,32.27,31.36, 'Steady'
15:39.9,35.01, 'off', 'on',29.3, 'off',0,33.44,30.29,32.27,31.37, 'Steady'
15:40.3,35, 'off', 'on',29.3, 'off',0,33.44,30.29,32.27,31.37, 'Steady'
15:40.6,34.99, 'off', 'on',29.3, 'off',0,33.44,30.29,32.27,31.37, 'Steady'
15:40.9,34.99, 'off', 'on',29.3, 'off',0,33.44,30.29,32.27,31.37, 'Steady'
15:41.3,34.98, 'off', 'on',29.3, 'off',0,33.45,30.3,32.27,31.38, 'Steady'
15:41.6,34.98, 'off', 'on',29.3, 'off',0,33.45,30.3,32.27,31.38, 'Steady'
15:41.9,34.97, 'off', 'on',29.3, 'off',0,33.45,30.3,32.27,31.39, 'Steady'
