time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)',,,,,,,,,,,,,
47:30.0,25.95,25.44,25.35,25.41,25.24,25.25,,,,,,,,,,,,,
47:30.5,25.96,25.44,25.35,25.41,25.24,25.25,,,,,,,,,,,,,
47:31.0,25.96,25.44,25.35,25.42,25.23,25.25,,,,,,,,,,,,,
47:31.5,25.96,25.44,25.35,25.41,25.23,25.25,,,,,,,,,,,,,
47:32.1,25.96,25.44,25.35,25.41,25.24,25.25,,,,,,,,,,,,,
47:32.5,25.97,25.44,25.35,25.42,25.25,25.25,,,,,,,,,,,,,
47:33.0,25.97,25.44,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:33.5,25.97,25.44,25.35,25.42,25.26,25.25,,,,,,,,,,,,,
47:34.0,25.97,25.44,25.35,25.42,25.26,25.25,,,,,,,,,,,,,
47:34.5,25.98,25.44,25.35,25.42,25.25,25.25,,,,,,,,,,,,,
47:35.1,25.98,25.44,25.35,25.42,25.25,25.25,,,,,,,,,,,,,
47:35.5,25.98,25.45,25.35,25.42,25.24,25.25,,,,,,,,,,,,,
47:36.1,25.98,25.45,25.35,25.42,25.24,25.25,,,,,,,,,,,,,
47:36.5,25.98,25.45,25.35,25.42,25.23,25.25,,,,,,,,,,,,,
47:37.0,25.98,25.45,25.35,25.42,25.23,25.25,,,,,,,,,,,,,
47:37.5,25.97,25.45,25.35,25.42,25.23,25.25,,,,,,,,,,,,,
47:38.1,25.97,25.45,25.35,25.42,25.23,25.25,,,,,,,,,,,,,
47:38.5,25.97,25.45,25.35,25.41,25.24,25.25,,,,,,,,,,,,,
47:39.0,25.97,25.46,25.35,25.41,25.24,25.25,,,,,,,,,,,,,
47:39.5,25.96,25.45,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:40.1,25.95,25.45,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:40.5,25.96,25.46,25.35,25.41,25.26,25.25,,,,,,,,,,,,,
47:41.0,25.96,25.46,25.35,25.41,25.26,25.25,,,,,,,,,,,,,
47:41.5,25.96,25.46,25.35,25.41,25.26,25.25,,,,,,,,,,,,,
47:42.0,25.95,25.46,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:42.5,25.95,25.46,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:43.0,25.95,25.46,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:43.5,25.94,25.46,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:44.0,25.94,25.46,25.35,25.41,25.25,25.25,,,,,,,,,,,,,
47:44.5,25.93,25.46,25.35,25.4,25.25,25.25,,,,,,,,,,,,,
47:45.1,25.93,25.46,25.35,25.4,25.25,25.25,,,,,,,,,,,,,
47:45.6,25.94,25.46,25.35,25.4,25.25,25.25,,,,,,,,,,,,,
47:46.1,25.94,25.47,25.35,25.4,25.25,25.25,,,,,,,,,,,,,
47:46.5,25.94,25.47,25.36,25.4,25.24,25.25,,,,,,,,,,,,,
47:47.0,25.94,25.48,25.36,25.4,25.24,25.25,,,,,,,,,,,,,
47:47.5,25.94,25.48,25.36,25.4,25.24,25.25,,,,,,,,,,,,,
47:48.0,25.94,25.48,25.36,25.4,25.24,25.25,,,,,,,,,,,,,
47:48.6,25.94,25.49,25.36,25.4,25.24,25.25,,,,,,,,,,,,,
47:49.1,25.95,25.5,25.36,25.41,25.24,25.25,,,,,,,,,,,,,
47:49.6,25.94,25.49,25.36,25.41,25.24,25.25,,,,,,,,,,,,,
47:50.1,25.93,25.48,25.36,25.41,25.24,25.25,,,,,,,,,,,,,
47:50.6,25.92,25.48,25.36,25.41,25.24,25.25,,,,,,,,,,,,,
