time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
39:21.5,3917.8,3897.4,3896,3892.6,3914.2,3896
39:21.9,3918.4,3897.6,3896,3892.6,3913.8,3896
39:22.3,3918,3897.6,3896,3892.8,3913.8,3896
39:22.8,3917.8,3897.6,3896,3893.4,3914.4,3896
39:23.2,3918,3897.6,3896,3893.6,3914.4,3896
39:23.6,3917.6,3897.6,3896,3893.2,3914,3896
39:24.0,3918,3897.6,3896,3893.4,3914.4,3896
39:24.4,3917.4,3897.8,3896,3893,3914.8,3896
39:24.8,3917.6,3897.8,3896,3893.2,3915.4,3896
39:25.2,3917.6,3897.6,3896,3893.2,3915.4,3896
39:25.6,3917.6,3897.4,3896,3893.4,3915.8,3896
39:26.1,3917.6,3897.2,3896,3893,3915.8,3896
39:26.5,3917.6,3897,3896,3893,3915.2,3896
39:26.9,3917,3897,3896,3892.6,3915,3896
39:27.3,3917.6,3897.4,3896,3893.2,3914.8,3896
39:27.7,3917.4,3897,3896,3893.2,3914.2,3896
39:28.1,3917,3897,3896,3893.4,3914.2,3896
39:28.5,3916.6,3897,3896,3893.4,3914,3896
39:28.9,3916.4,3897,3896,3893,3914.2,3896
39:29.3,3916.4,3897,3896,3892.6,3914.2,3896
39:29.8,3916.6,3896.8,3896,3892.8,3914.4,3896
39:30.2,3916.4,3896.6,3896,3892.8,3914.6,3896
39:30.6,3916.4,3896.6,3896,3892.8,3914.4,3896
39:31.0,3916.4,3896.6,3896,3892.6,3914.6,3896
39:31.4,3916.6,3896.4,3896,3892.8,3914.8,3896
39:31.8,3916.8,3896.4,3896,3892.8,3914.6,3896
39:32.2,3917,3896.8,3896,3892.6,3914.8,3896
39:32.6,3917,3896.6,3896,3892.6,3914.6,3896
39:33.1,3917.4,3896.8,3896,3893.2,3914,3896
39:33.5,3917.4,3897.2,3896,3893.2,3914,3896
39:33.9,3917.4,3897.2,3896,3893.2,3914.2,3896
39:34.3,3917.4,3897.2,3896,3893.4,3914.6,3896
39:34.7,3917.4,3897,3896,3893.4,3914.6,3896
39:35.1,3917.4,3897,3896,3893.8,3914,3896
39:35.5,3917.2,3897,3896,3893.2,3914.2,3896
39:35.9,3917.2,3897,3896,3893.4,3914.4,3896
39:36.3,3917.2,3897,3896,3893.4,3914.4,3896
39:36.7,3916.6,3897,3896,3893,3914.6,3896
39:37.1,3916.8,3897,3896,3893.2,3913.8,3896
39:37.5,3916.8,3897,3896,3893.2,3913.4,3896
39:37.9,3916.8,3897,3896,3893,3913,3896
39:38.3,3917.2,3897,3896,3893.6,3912.8,3896
39:38.7,3917,3897,3896,3893,3913.2,3896
39:39.1,3917.6,3897,3896,3893.6,3913,3896
39:39.5,3918.6,3897,3896,3893.8,3912.8,3896
39:39.9,3918.6,3897,3896,3893.8,3912.8,3896
39:40.3,3918.6,3897,3896,3893.8,3913,3896
39:40.7,3918.6,3897,3896,3893.8,3913,3896
39:41.1,3918.4,3897,3896,3893.6,3913,3896
39:41.5,3918.2,3897,3896,3893.8,3913.2,3896
39:41.9,3919,3897,3896,3893.6,3913.2,3896
39:42.3,3919.4,3897,3896,3893.6,3913.4,3896
39:42.7,3918.6,3897,3896,3893.6,3914,3896
39:43.1,3918.6,3897.2,3896,3893.6,3913.8,3896
39:43.5,3917.6,3897.2,3896,3893.6,3914.2,3896
39:43.9,3917.6,3897.2,3896,3893.2,3914.2,3896
39:44.3,3916.8,3897.2,3896,3893,3915.4,3896
39:44.7,3917,3897.2,3896,3893.2,3915.4,3896
39:45.1,3917.2,3897.2,3896,3893.4,3914.2,3896
39:45.5,3917.2,3897,3896,3893.4,3914.2,3896
39:45.9,3917.2,3897,3896,3893.6,3915,3896
39:46.3,3917.4,3897,3896,3893.4,3914.2,3896
39:46.7,3917.2,3897,3896,3893.4,3914.4,3896
39:47.1,3917.4,3897,3896,3893.2,3915.4,3896
39:47.5,3917.6,3897,3896,3893.2,3916.6,3896
39:47.9,3917.8,3897,3896,3893.4,3916.6,3896
39:48.3,3918.2,3897,3896,3893.6,3916.4,3896
39:48.8,3918.4,3897,3896,3893.6,3917,3896
39:49.2,3918.2,3897,3896,3893.4,3917.2,3896
39:49.6,3918,3897,3896,3893.4,3916.2,3896
39:50.0,3918.2,3897,3896,3893.4,3916.2,3896
39:50.4,3918.4,3897,3896,3893.2,3917.2,3896
39:50.8,3918.4,3897,3896,3893.2,3917.2,3896
39:51.2,3918.4,3897.4,3896,3893.2,3916.2,3896
39:51.6,3918.2,3897.4,3896,3892.8,3915.2,3896
39:52.0,3918.2,3897.2,3896,3892.8,3915.2,3896
39:52.4,3917.8,3897.2,3896,3892.8,3915.6,3896
39:52.8,3918.2,3897.6,3896,3893,3915.4,3896
39:53.2,3918.4,3897.6,3896,3893.2,3915,3896
39:53.6,3918,3897.2,3896,3893.2,3914.8,3896
39:54.0,3918,3897.2,3896,3893.4,3914.2,3896
39:54.5,3918,3897.4,3896,3893.4,3913.8,3896
39:54.9,3917.6,3897.2,3896,3893.4,3914.2,3896
39:55.3,3917.6,3897.2,3896,3893.6,3914.8,3896
39:55.7,3917.6,3897,3896,3893.4,3915,3896
39:56.1,3917.6,3897,3896,3893.4,3915,3896
39:56.5,3917.6,3897,3896,3893.4,3915,3896
39:56.9,3917.6,3897,3896,3893.4,3915,3896
39:57.3,3917.6,3897,3896,3893.4,3915.4,3896
39:57.7,3917.4,3897,3896,3893,3915.2,3896
39:58.2,3917.2,3897,3896,3893.4,3915.4,3896
39:58.6,3917.6,3897,3896,3893.8,3914.6,3896
39:59.0,3917.4,3897,3896,3893.8,3914.6,3896
39:59.4,3917.8,3897,3896,3894.2,3914,3896
39:59.8,3917.8,3897,3896,3894.4,3914,3896
40:00.2,3917.6,3897,3896,3894.4,3914,3896
40:00.6,3917.6,3897,3896,3894.4,3914,3896
40:01.0,3917.4,3897,3896,3894.4,3914,3896
40:01.5,3917.6,3897,3896,3894.4,3914.2,3896
40:01.9,3917.8,3897,3896,3894.2,3914.4,3896
40:02.3,3917.2,3897,3896,3894,3915.6,3896
40:02.7,3917.8,3897,3896,3894,3914.4,3896
40:03.1,3917.2,3897,3896,3893.6,3914.8,3896
40:03.6,3917,3897,3896,3893.6,3914.6,3896
40:04.0,3917.4,3897.2,3896,3893.6,3915,3896
40:04.4,3917,3897.4,3896,3893.4,3915,3896
40:04.8,3917,3897.4,3896,3893.4,3914.6,3896
40:05.2,3917,3897.4,3896,3893.4,3914.6,3896
40:05.6,3917.2,3897.4,3896,3893.6,3914.2,3896
40:06.1,3917.2,3897.4,3896,3893.4,3914.2,3896
40:06.5,3917.2,3897.4,3896,3893.4,3914.2,3896
40:06.9,3917.2,3897.4,3896,3893.4,3914.2,3896
40:07.3,3918,3897.4,3896,3893.4,3913.6,3896
40:07.7,3917.4,3897.2,3896,3893.4,3913.4,3896
40:08.1,3917,3897,3896,3893.6,3914.6,3896
40:08.6,3917,3897,3896,3893.6,3914.6,3896
40:09.0,3917.2,3897.2,3896,3893.6,3913.4,3896
40:09.4,3916.8,3897.2,3896,3893,3914,3896
40:09.8,3916.6,3897.2,3896,3893.2,3914,3896
40:10.3,3916.2,3897,3896,3892.8,3914.2,3896
40:10.6,3916.2,3897,3896,3893.2,3914.8,3896
40:11.1,3915.8,3897,3896,3893,3914.8,3896
40:11.5,3915.8,3897,3896,3892.8,3915,3896
40:11.9,3915.6,3897,3896,3892.6,3914.4,3896
40:12.3,3915.8,3897,3896,3892.6,3915,3896
40:12.8,3915.8,3897,3896,3892.6,3915,3896
40:13.2,3916,3897,3896,3893,3914.8,3896
40:13.6,3916.2,3897,3896,3892.8,3914.4,3896
40:14.0,3916.4,3897,3896,3892.8,3915,3896
40:14.4,3916.2,3897,3896,3892.8,3914.4,3896
40:14.9,3916.6,3897,3896,3892.6,3914.6,3896
40:15.3,3916.8,3897,3896,3892.6,3914.4,3896
40:15.7,3916.8,3897,3896,3892.6,3914.4,3896
40:16.1,3916.6,3897,3896,3892.8,3914.4,3896
40:16.5,3916.2,3896.8,3896,3892.6,3914.6,3896
40:17.0,3916.4,3896.8,3896,3892.4,3914.6,3896
40:17.4,3916.4,3897,3896,3892.4,3914.4,3896
40:17.8,3916.4,3896.8,3896,3892.6,3914.4,3896
40:18.2,3916.6,3897,3896,3892.4,3914.6,3896
40:18.7,3916.4,3896.8,3896,3892.6,3914.2,3896
40:19.1,3916.2,3896.4,3896,3892.8,3914.4,3896
40:19.5,3916.4,3896.6,3896,3893.2,3914.2,3896
40:19.9,3916.6,3896.8,3896,3893,3914,3896
40:20.3,3916.6,3897,3896,3893,3914,3896
40:20.8,3916.6,3896.8,3896,3893.2,3914.2,3896
40:21.2,3916.6,3896.8,3896,3893,3914.8,3896
40:21.6,3916.8,3897,3896,3893,3915.2,3896
40:22.1,3916.8,3897,3896,3893.4,3914.4,3896
40:22.5,3917.2,3897.2,3896,3893,3914.4,3896
40:22.9,3917.2,3897.2,3896,3892.8,3914.8,3896
40:23.3,3917,3897,3896,3892.6,3915.2,3896
40:23.8,3917.2,3897.2,3896,3892.6,3915.2,3896
40:24.2,3917.4,3897.4,3896,3892.8,3914.8,3896
40:24.6,3917.4,3897.4,3896,3892.6,3914.2,3896
40:25.0,3917.8,3897.4,3896,3892.6,3913.6,3896
40:25.5,3917.8,3897.2,3896,3892.8,3913.4,3896
40:25.9,3917.8,3897.2,3896,3892.6,3913.4,3896
